Mã ICD,Tên bệnh
P72.9,các rối loạn nội tiết tạm thời không được định rõ
P74,các rối loạn chuyển hóa và điện giải tạm thời khác của trẻ sơ sinh
P74.0,toan chuyển hóa muộn của trẻ sơ sinh
P74.2,rối loạn cân bằng natri của trẻ sơ sinh
P74.3,rối loạn cân bằng kali của trẻ sơ sinh
P74.4,các rối loạn điện giải tạm thời khác của trẻ sơ sinh
P74.8,các rối loạn chuyển hóa tạm thời khác của trẻ sơ sinh
P74.9,các rối loạn chuyển hóa tạm thời không được định rõ của trẻ sơ sinh
P75,tă c ruô t phân xu trong bê nh xơ nang e84 1
P76,tắc ruột non khác của trẻ sơ sinh
P76.0,hội chứng nút phân su
P76.2,tắc ruột non do sữa đặc
P76.8,tắc ruột non được định rõ khác của trẻ sơ sinh
J01.20,viêm xoang sàng cấp không xác định
J01.21,viêm xoang sàng cấp tái phát
J01.30,viêm xoang bướm cấp không xác định
J01.31,viêm xoang bướm cấp tái phát
J01.40,viêm toàn bộ xoang cấp không xác định
J01.41,viêm toàn bộ các xoang tái phát
J01.81,viêm xoang cấp tái phát khác viêm xoang cấp tái phát trên nhiều hơn một xoang nhưng không phải là viêm toàn bộ các xoang
J01.90,viêm xoang cấp không xác định
J01.91,viêm xoang cấp tái phát không xác định
K09.0,nang răng phát triển
K09.2,nang khác của xương hàm
K09.8,nang khác ở vùng miệng không phân loại nơi khác
K09.9,nang vùng miệng không đặc hiệu
K10,bệnh khác của xương hàm
K10.1,u hạt tế bào khổng lồ trung tâm
K10.2,tình trạng viêm của xương hàm
K10.3,viêm ổ răng xương hàm
K10.4,áp xe hàm mặt do viêm ổ răng
K10.9,bệnh xương hàm không đặc hiệu
K11,bệnh tuyến nước bọt
K11.0,teo tuyến nước bọt
K11.2,viêm tuyến nước bọt
K11.3,áp xe tuyến nước bọt
K11.4,lỗ dò tuyến nước bọt
K11.6,nang nhầy của tuyến nước bọt
K11.7,rối loạn tiết nước bọt
K11.8,bệnh khác của tuyến nước bọt
K11.9,bệnh tuyến nước bọt không đặc hiệu
K12.0,loét miệng tái diễn
K12.1,dạng khác của viêm miệng
K12.2,viêm mô tế bào và áp xe của miệng
K13,bệnh khác của môi và niêm mạc miệng
K13.1,đau má và môi
K13.2,mảng trắng và rối loạn khác của thượng bì miệng bao gồm lưới
K13.4,u hạt và tô n thương dạng u hạt của niêm mạc miệng
K13.5,xơ hóa dưới niêm mạc miệng
K13.6,tăng sản do kích thích của niêm mạc miệng
K14,bệnh của lưỡi
K14.0,viêm lưỡi
N77.1,viêm âm đạo viêm âm hộ và viêm âm đạo âm hộ trong các bệnh nhiễm khuẩn và ký sinh trùng phân loại nơi khác
N77.8,viêm và loét âm đạo âm hộ trong các bệnh khác phân loại nơi khác
N80,bệnh lạc nội mạc tử cung
N80.0,bệnh lạc nội mạc tử cung
N80.1,bệnh lạc nội mạc tử cung ở buồng trứng
N80.2,bệnh lạc nội mạc tử cung ở vòi trứng
N80.4,bệnh lạc nội mạc tử cung ở vách trực tràng âm đạo và âm đạo
N80.5,bệnh lạc nội mạc tử cung ở ruột
N80.6,bệnh lạc nội mạc tử cung ở sẹo da
N80.8,bệnh lạc nội mạc tử cung khác
N80.9,bệnh lạc nội mạc tử cung không đặc hiệu
N81.0,sa niệu đạo nữ
N81.1,sa bàng quang
N81.3,sa hoàn toàn tử cung âm đạo
N81.4,sa tử cung âm đạo không đặc hiệu
N81.5,thóat vị ruột trong âm đạo
N81.6,sa trực tràng
N81.9,sa sinh dục nữ không đặc hiệu
N82,rò đường sinh dục nữ
N82.0,rò bàng quang âm đạo
N82.2,rò âm đạo vào ruột non
N82.3,rò âm đạo vào ruột già
N82.4,các rò đường sinh dục nữ ruột khác
N82.5,rò đường sinh dục nữ ra da
N82.8,các rò đường sinh dục nữ khác
N83,các biến đổi không do viêm của buồng trứng vòi trứng và dây chằng rộng
N83.0,u nang nang trứng
N83.1,u nang hoàng thể
N83.2,các u nang buồng trứng khác và không đặc hiệu
N83.4,thóat vị và sa buồng trứng và vòi trứng
N83.5,xoắn buồng trứng cuống trứng và vòi trứng
N83.6,vòi trứng ứ máu
N83.7,ứ máu dây chằng rộng
N83.8,các biến đổi không do viêm khác của buồng trứng vòi trứng và dây chằng rộng
N84,polyp đường sinh dục nữ
N84.0,polyp thân tử cung
N84.1,polyp cổ tử cung
N84.2,polyp âm đạo
N84.3,polyp âm hộ
N84.8,polyp các phần khác đường sinh dục nữ
N84.9,polyp đường sinh dục nữ không đặc hiệu
N85,các biến đổi không do viêm khác của tử cung trừ cổ tử cung
N85.1,tăng sản u tuyến nội mạc tử cung
N85.2,phì đại tử cung
N85.3,bán co tử cung
N85.5,lộn tử cung
N85.6,dính trong tử cung
N85.7,ứ máu tử cung
N85.9,biến đổi của tử cung không do viêm không đặc hiệu
N87,loạn sản cổ tử cung
N87.0,loạn sản nhẹ cổ tử cung
N87.1,loạn sản vừa cổ tử cung
N87.2,loạn sản nặng cổ tử cung không phân loại nơi khác
N88,các biến đổi không do viêm khác của cổ tử cung
N88.0,bạch sản cổ tử cung
P76.9,tắc ruột non không được định rõ của trẻ sơ sinh
R17,va ng da không xa c đi nh
R18,cô chươ ng
R19,triệu chứng và dấu hiệu khác liên quan tới hệ tiêu hóa và bụng
R19.0,sưng hoặc khối u trong bụng và vùng chậu hông
R19.1,tiếng ruột bất thường
R19.3,cứng bụng
R19.4,thay đổi thói quen của ruột
R19.5,bất thường khác của phân
R19.6,chứng hôi miệng
R20,rối loạn cảm giác da
R20.0,mất cảm giác da
R20.1,giảm cảm giác da
R20.2,dị cảm da
R20.3,tăng cảm giác
R20.8,rối loạn cảm giác da không xác định và các rối loạn khác của da
R21,ban va pha t ban không đă c hiê u
R22,sưng cục bộ khối cục ở da và tổ chức dưới da
R22.1,sưng khu trú khối và cục ở cổ
R22.2,sưng khu trú khối và cục ở thân mình
R22.3,sưng khu trú khối và cục ở chi trên
R22.7,sưng khu trú khối và cục ở nhiều vị trí
R22.9,sưng khu trú khối và cục không đặc hiệu
R23,các thay đổi khác của da
R23.0,da xanh tím
R23.2,chứng đỏ bừng mặt
R23.3,vết bầm tím xuất huyết ngẫu phát
R23.4,thay đổi hình thể da
R25,vận động không tự chủ bất thường
R25.0,bất thường vận động đầu
R25.1,rung không đặc hiệu
R25.2,chuột rút và co cứng
R25.8,vận động không tự chủ bất thường không xác định khác
R26,bất thường dáng đi và chuyển động
R26.0,dáng đi mất điều vận
R26.2,khó khăn khi đi chưa phân loại ở phần khác
R26.8,dáng đi và di chuyển bất thường không đặc hiệu
R27.0,mất điều vận không đặc hiệu
R27.8,thiếu phối hợp không xác định khác
R29,triệu chứng và dấu hiệu khác liên quan tới hệ thần kinh và cơ xương
R29.1,hội chứng co cứng màng não
R29.2,phản xạ bất thường
R29.4,chậu hông khoèo
R29.8,triệu chứng và dấu hiệu không xác định khác liên quan tới hệ thần kinh và cơ xương
R30.0,đái khó
R30.1,đau thắt bàng quang
R30.9,đái dắt đau không đặc hiệu
R32,tiê u tiê n mâ t tư chu không xa c đi nh
R33,bi đa i
R34,vô niê u va thiê u niê u
R35,đa niê u
R39,triệu chứng và dấu hiệu khác liên quan tới hệ tiết niệu
R39.0,tràn máu nước tiểu
R39.1,các khó khăn khác khi tiểu tiện
R39.8,triệu chứng và dấu hiệu không xác định khác liên quan tới hệ tiết niệu
R40,buồn ngủ ngẩn ngơ và hôn mê
R40.0,buồn ngủ
M16.11,viêm khớp xương nguyên phát một bên ở háng phải
M16.12,viêm khớp xương nguyên phát một bên ở háng trái
M16.30,viêm khớp xương một bên do loạn dưỡng háng ở háng không xác định
M16.31,viêm khớp xương một bên do loạn dưỡng háng ở háng phải
M16.32,viêm khớp xương một bên do loạn dưỡng háng ở háng trái
M16.51,viêm khớp xương một bên sau chấn thương ở háng phải
M16.52,viêm khớp xương một bên sau chấn thương ở háng trái
M17.10,viêm khớp xương nguyên phát một bên ở gối không xác định
M17.11,viêm khớp xương nguyên phát một bên ở gối phải
M17.30,viêm khớp xương sau chấn thương một bên ở gối không xác định
M17.31,viêm khớp xương sau chấn thương một bên ở gối phải
M17.32,viêm khớp xương sau chấn thương một bên ở gối trái
M31.30,bệnh u hạt wegener không tổn thương thận
M31.31,bệnh u hạt wegener có tổn thương thận
N88.1,rách cũ cổ tử cung
N88.2,hẹp và chít hẹp cổ tử cung
N88.4,cổ tử cung bị kéo dài do phì đại
N88.8,biến đổi không do viêm xác định khác của cổ tử cung
N88.9,biến đổi không do viêm của cổ tử cung không đặc hiệu
N89.0,loạn sản âm đạo nhẹ
N89.1,loạn sản âm đạo vừa
N89.2,loạn sản âm đạo nặng không phân loại nơi khác
N89.3,loạn sản âm đạo không đặc hiệu
N89.5,hẹp và tịt âm đạo
N89.6,vòng màng trinh hẹp
N89.7,ứ máu âm đạo
N89.8,các biến đổi không do viêm xác định khác của âm đạo
N89.9,biến đổi không do viêm của âm đạo không đặc hiệu
N90,biến đổi không do viêm khác của âm hộ và tầng sinh môn
N90.0,loạn sản nhẹ âm hộ
N90.1,loạn sản vừa âm hộ
N90.2,loạn sản nặng âm hộ không phân loại nơi khác
N90.3,loạn sản âm hộ không đặc hiệu
N90.4,bạch sản âm hộ
N90.5,teo âm hộ
N90.6,phì đại âm hộ
N90.7,nang âm hộ
N90.8,biến đổi không do viêm xác định khác của âm hộ và tầng sinh môn
N91,vô kinh thiểu kinh hiếm kinh
N91.1,vô kinh thứ phát
N92,kinh nguyệt nhiều hay xuất hiện và không đều
N92.0,kinh nguyệt nhiều và hay xuất hiện với chu kỳ đều
N92.1,kinh nguyệt nhiều và hay xảy ra với chu kỳ không đều
N92.2,rong kinh lúc dậy thì
N92.4,chảy máu nặng lúc tiền mãn kinh
N92.5,kinh nguyệt không đều khác
N92.6,kinh nguyệt không đều không đặc hiệu
N93.0,chảy máu sau tiếp xúc và giao hợp
N93.8,chảy máu bất thường xác định khác của tử cung và âm đạo
N93.9,chảy máu bất thường của tử cung và âm đạo không đặc hiệu
N94,đau và tình trạng khác liên quan đến cơ quan sinh dục nữ và chu kỳ kinh nguyệt
N94.0,đau vừa
N94.2,co đau âm đạo
N94.3,hội chứng căng thẳng trước khi thấy kinh
N94.4,đau kinh nguyên phát
N94.6,đau kinh không đặc hiệu
N94.8,các tình trạng xác định khác liên quan đến cơ quan sinh dục nữ và chu kỳ kinh nguyệt
N95,rối loạn mãn kinh và rối loạn chu mãn kinh
N95.0,chảy máu sau mãn kinh
N95.1,tình trạng mãn kinh nữ
N95.2,viêm teo âm đạo sau mãn kinh
N95.3,tình trạng liên quan đến mãn kinh nhân tạo
N95.9,rối loạn mãn kinh và chu mãn kinh không đặc hiệu
N96,hay sa y thai
N97.0,vô sinh nữ liên quan đến không rụng trứng
N97.1,vô sinh nữ do nguyên nhân vòi trứng
N97.3,vô sinh nữ do nguyên nhân cổ tử cung
N97.4,vô sinh nữ liên quan đến các yếu tố nam
R40.2,hôn mê không đặc hiệu
R41,triệu chứng và dấu hiệu khác liên quan đến chức năng nhận thức và tri giác
R41.0,mất định hướng không đặc hiệu
R41.1,quên thuận chiều
R41.2,quên ngược chiều
R41.3,các loại quên khác
R41.8,triệu chứng và dấu hiệu không xác định khác liên quan đến chức năng nhận thức và nhận biết
R42,hoa mă t va cho ng mă t
R43,rối loạn về mùi và vị
O64.0,chuyển dạ đình trệ do đầu thai quay không hoàn toàn
O64.1,chuyển dạ đình trệ do ngôi mông
O64.2,chuyển dạ đình trệ do ngôi mặt
O64.3,chuyển dạ đình trệ do ngôi trán
O64.4,chuyển dạ đình trệ do ngôi vai
O64.5,chuyển dạ đình trệ do ngôi thai chờm vệ
O64.8,chuyển dạ đình trệ do ngôi và thế bất thường khác
O64.9,chuyển dạ đình trệ do ngôi và thế bất thường chưa xác định rõ
O65,chuyển dạ đình trệ do khung chậu bất thường
O65.0,chuyển dạ đình trệ do khung chậu biến dạng
O65.1,chuyển dạ đình trệ do khung chậu hẹp toàn diện
O65.2,chuyển dạ đình trệ do hẹp eo trên
O65.3,chuyển dạ đình trệ do hẹp eo dưới và eo giữa
O65.4,chuyển dạ đình trệ do bất tương xứng thai khung chậu chưa xác định rõ
O65.5,chuyển dạ đình trệ do bất thường các tạng trong tiểu khung của mẹ
O65.8,chuyển dạ đình trệ do bất thường khác của khung chậu mẹ
O65.9,chuyển dạ đình trệ do bất thường khung chậu mẹ chưa xác định rõ
O66,chuyển dạ đình trệ khác
O66.0,chuyển dạ đình trệ do đẻ khó do vai
O66.1,chuyển dạ đình trệ do sinh đôi cản trở nhau
O66.3,chuyển dạ đình trệ do bất thường khác của thai
O66.4,nghiệm pháp chuyển dạ thất bại chưa xác định rõ
O66.5,đặt forcep hay giác hút thất bại chưa xác định rõ
O66.8,chuyển dạ đình trệ chỉ rõ khác
O66.9,chuyển dạ đình trệ chưa xác định rõ
O67.0,chảy máu trong đẻ do thiếu hụt yếu tố đông máu
O67.8,chảy máu trong đẻ khác
O67.9,chảy máu trong đẻ chưa xác định rõ
O68,chuyển dạ và đẻ có biến chứng suy thai
O68.0,chuyển dạ và đẻ có nhịp tim thai bất thường
O68.1,chuyển dạ và đẻ có nước ối lẫn phân su
O68.2,chuyển dạ và đẻ có nhịp tim thai bất thường và nước ối lẫn phân su
O68.3,chuyển dạ và đẻ có các dấu hiệu sinh hóa của suy thai
O68.9,chuyển dạ và đẻ có suy thai chưa xác định rõ
O69,chuyển dạ và đẻ có biến chứng dây rốn
O69.0,chuyển dạ và đẻ có biến chứng sa dây rốn
O69.1,chuyển dạ và đẻ có biến chứng dây rốn quấn quanh cổ bị chèn ép
O69.2,chuyển dạ và đẻ có vướng mắc khác của dây rốn với chèn ép
O87.0,viêm tắc tĩnh mạch nông sau đẻ
O87.1,viêm tắc tĩnh mạch sâu sau đẻ
O87.3,huyết khối tĩnh mạch não sau đẻ
O87.8,biến chứng tĩnh mạch khác sau đẻ
O88,tắc mạch sản khoa
O88.0,tắc mạch sản khoa do khí
O88.1,tắc mạch ối
O88.2,tắc mạch sản khoa do cục máu đông
O88.3,tắc mạch do mủ huyết và nhiễm khuẩn sản khoa
O89,biến chứng của gây mê trong thời kỳ sau đẻ
O89.0,biến chứng phổi của gây mê trong thời kỳ sau đẻ
O89.1,biến chứng tim của gây mê trong thời kỳ sau đẻ
O89.3,phản ứng độc do gây tê tại chỗ trong thời kỳ sau đẻ
O89.4,đau đầu do gây tê tủy sống và ngoài màng cứng trong thời kỳ sau đẻ
O89.5,biến chứng khác của gây tê tủy sống và ngoài màng cứng trong thời kỳ sau đẻ
O89.6,đặt nội khí quản khó hay thất bại trong thời kỳ sau đẻ
O89.8,biến chứng khác của gây mê trong thời kỳ sau đẻ
O89.9,biến chứng của gây mê trong thời kỳ sau đẻ
O90,biến chứng sau đẻ chưa được xếp loại
O90.0,toác vết mổ lấy thai
O90.2,máu tụ vết khâu sản khoa
O90.3,bệnh lý cơ tim trong thời kỳ hậu sản
O90.4,suy thận cấp tính sau đẻ
O90.8,biến chứng khác sau đẻ chưa được xếp loại ở phần khác
O90.9,biến chứng sau đẻ chưa xác định rõ
O91,nhiễm khuẩn vú phối hợp với đẻ
O91.1,áp xe vú phối hợp với đẻ
O91.2,viêm vú không thành mủ phối hợp với đẻ
O92,các rối loạn khác của vú và tiết sữa phối hợp với đẻ
O92.0,tụt núm vú phối hợp với đẻ
O92.2,các rối loạn khác chưa xác định rõ của vú phối hợp với đẻ
O92.3,không có sữa
O92.4,thiếu sữa ít sữa
O92.5,cắt sữa
O92.7,rối loạn tiết sữa khác chưa xác định rõ
O96,tử vong vì bất kỳ nguyên nhân sản khoa nào khác sau khi đẻ 42 ngày và dưới 1 năm
O97,tử vong vì di chứng của nguyên nhân sản khoa trực tiếp
O98,nhiễm khuẩn bà mẹ và bệnh ký sinh trùng đã được xếp loại nhưng gây biến chứng cho thai nghén khi đẻ và sau khi đẻ
O98.0,bệnh lao gây biến chứng cho thai nghén khi đẻ và sau đẻ
O98.1,giang mai gây biến chứng cho thai nghén khi đẻ và sau đẻ
O98.2,bệnh lậu gây biến chứng cho thai nghén khi đẻ và sau khi đẻ
O98.4,viêm gan virus gây biến chứng cho thai nghén khi đẻ và sau khi đẻ
O98.5,bệnh do virus khác gây biến chứng cho thai nghén khi đẻ và sau khi đẻ
O98.6,bệnh do đơn bào gây biến chứng cho thai nghén khi đẻ và sau khi đẻ
Q14.2,dị tật bẩm sinh đĩa thị giác
Q14.3,dị tật bẩm sinh màng mạch
Q14.8,các dị tật bẩm sinh khác ở phần sau của mắt
Q14.9,dị tật bẩm sinh không đặc hiệu ở phần sau của mắt
J95.01,chảy máu từ lỗ mở khí quản
J95.02,nhiễm trùng lỗ mở khí quản
J95.03,lỗ mở khí quản không họat động
J95.04,rò thực quản khí quản sau mở khí quản
J95.09,biến chứng khác của mở khí quản
J95.5,hẹp dưới thanh môn sau phẫu thuật
J95.8,các bệnh hô hấp sau phẫu thuật khác
J96,suy hô hấp không phân loại nơi khác
J96.0,suy hô hấp cấp
J96.1,suy hô hấp mạn
J96.9,suy hô hấp không phân loại
J98,các bệnh hô hấp khác
J98.1,xẹp phổi
J98.2,giãn phế nang mô kẽ
J98.3,giãn phế nang còn bù
M49.5,xẹp đốt sống trong các bệnh đã xếp loại ở mục khác
M49.8,tổn thương thân đốt sống trong các bệnh khác đã được xếp loại ở mục khác
M50.0,bệnh một đĩa đệm đốt sống cổ kèm tổn thương tủy sống g99 2
M50.1,bệnh một đĩa đệm cột sống cổ kèm tổn thương rễ tủy sống
M50.2,các thóat vị đĩa đệm cột sống cổ khác
M50.3,các thoái hóa đĩa đệm đốt sống cổ khác
M50.8,các tổn thương đĩa đệm đốt sống cổ khác
M50.9,các bệnh đĩa đệm đốt sống cổ khác không đặc hiệu
M51,các bệnh đĩa đệm gian đốt sống khác
N97.8,vô sinh nữ liên quan đến các yếu tố khác
N97.9,vô sinh nữ không đặc hiệu
N98,biến chứng liên quan đến thụ thai nhân tạo
N98.1,cường kích thích các buồng trứng
N98.2,biến chứng do đưa vào trứng đã thụ tinh trong quá trình thụ tinh trong ống nghiệm
N98.3,biến chứng do đưa phôi vào trong quá trình chuyển phôi
N98.8,biến chứng khác liên quan đến thụ thai nhân tạo
N98.9,biến chứng liên quan đến thụ thai nhân tạo không đặc hiệu
N99.0,suy thận sau can thiệp
N99.1,hẹp niệu đạo sau can thiệp
N99.2,dính âm đạo sau phẫu thuật
N99.3,sa vòm âm đạo sau cắt tử cung
N99.4,dính phúc mạc chậu sau can thiệp
N99.5,hoạt động kém của các lỗ thông ra ngoài của đường tiết niệu
N99.8,các rối loạn sau can thiệp khác của hệ sinh dục tiết niệu
N99.9,rối loạn sau can thiệp của hệ sinh dục tiết niệu không đặc hiệu
O00,chửa ngoài tử cung
O00.0,chửa trong ổ bụng
O00.1,chửa ở vòi tử cung
O00.2,chửa ở buồng trứng
O00.9,chửa ngoài tử cung chưa xác định rõ
O01,chửa trứng
O01.0,chửa trứng cổ điển
O01.9,chửa trứng không điển hình
Q43.2,các rối loạn chức năng bẩm sinh khác của ruột kết
Q43.3,các dị tật cố định bẩm sinh ở ruột
Q43.4,ruột đôi
Q43.6,đường rò bẩm sinh của hậu môn và trực tràng
Q43.7,tồn tại ổ nhớp
Q43.8,các dị tật bẩm sinh đặc hiệu khác của ruột
Q44,các dị tật bẩm sinh của túi mật đường mật và gan
Q44.0,không phát triển bất sản và giảm sản túi mật
Q44.1,các dị tật bẩm sinh khác của túi mật
Q44.2,teo đường mật
Q44.4,u nang ống mật chủ
Q44.5,các dị tật bẩm sinh khác của đường mật
Q44.6,các bệnh nang của gan
Q44.7,các dị tật bẩm sinh khác của gan
Q45,các dị tật bẩm sinh khác của hệ tiêu hóa
Q45.1,tụy hình vòng
Q45.2,nang tụy bẩm sinh
Q45.3,các dị tật bẩm sinh khác của tụy và ống tụy
Q45.8,các dị tật bẩm sinh đặc hiệu khác của hệ tiêu hóa
Q45.9,dị tật bẩm sinh của hệ tiêu hóa không đặc hiệu
Q50,những dị tật bẩm sinh của buồng trứng vòi trứng và dây chằng rộng
Q50.1,nang buồng trứng
Q50.2,xoắn bẩm sinh của buồng trứng
Q50.3,những dị tật bẩm sinh khác của buồng trứng
Q50.31,buồng trứng phụ
Q50.39,dị tật bẩm sinh khác của buồng trứng dị tật bẩm sinh của buồng trứng nos
Q50.4,nang bào thai của vòi trứng
O69.4,chuyển dạ và đẻ có biến chứng do mạch máu tiền đạo
O69.5,chuyển dạ và đẻ có biến chứng tổn thương mạch
O69.8,chuyển dạ và đẻ có biến chứng khác của dây rốn
O69.9,chuyển dạ và đẻ có biến chứng khác của dây rốn chưa xác định rõ
O70.0,rách tầng sinh môn độ i trong đẻ
O70.1,rách tầng sinh môn độ ii trong đẻ
O70.2,rách tầng sinh môn độ iii trong đẻ
O70.3,rách tầng sinh môn độ iv trong đẻ
O70.9,rách tầng sinh môn chưa xác định rõ
O71,chấn thương sản khoa khác
O71.0,vỡ tử cung trước chuyển dạ
O71.2,lộn tử cung sau đẻ
O71.3,rách cổ tử cung sản khoa
O71.4,rách âm đạo cao đơn thuần do sản khoa
P77,viêm ruô t hoa i tư cu a thai va tre sơ sinh
P78,các rối loạn khác của hệ tiêu hóa trong giai đoạn chu sinh
P78.0,thủng ruột non chu sinh
P78.1,các viêm phúc mạc sơ sinh khác
P78.2,nôn ra máu ỉa ra máu do nuốt phải máu mẹ của trẻ sơ sinh
P78.8,các rối loạn đặc hiệu khác của hệ tiêu hóa ở giai đoạn chu sinh
P78.9,rối loạn tiêu hóa không được định rõ của giai đoạn sơ sinh
P80,hạ thân nhiệt của trẻ sơ sinh
P80.0,hội chứng tổn thương do lạnh
P80.9,hạ thân nhiệt không được định rõ của trẻ sơ sinh
P81,các rối loạn điều nhiệt khác của trẻ sơ sinh
P81.0,tăng thân nhiệt do môi trường của trẻ sơ sinh
P81.8,các rối loạn điều nhiệt được định rõ khác của trẻ sơ sinh
P83,các bệnh lý khác của da đặc hiệu cho thai và trẻ sơ sinh
P83.0,cứng bì của trẻ sơ sinh
P83.1,đỏ da nhiễm độc của trẻ sơ sinh
P83.2,phù thai không do bệnh huyết tán
P83.3,phù da khác không được định rõ đặc hiệu cho thai và trẻ sơ sinh
P83.4,cương tức vú của trẻ sơ sinh
P83.6,polyp rốn của trẻ sơ sinh
P83.8,các bệnh lý được định rõ khác của da đặc hiệu cho thai và trẻ sơ sinh
P83.9,bệnh lý không được định rõ của da đặc hiệu cho thai và trẻ sơ sinh
P90,cơn co giâ t cu a tre sơ sinh
P91.0,thiếu máu cục bộ sơ sinh
P91.1,nang quanh não thất mắc phải của trẻ sơ sinh
P91.2,nhũn chất trắng não sơ sinh
P91.3,não dễ kích thích của trẻ sơ sinh
P91.4,lõm não sơ sinh
P91.8,các rối loạn được định rõ khác của tình trạng não trẻ sơ sinh
P91.9,rối loạn không chỉ rõ tình trạng não của sơ sinh
P92.0,nôn ở trẻ sơ sinh
P92.1,nôn vọt và nhai lại của trẻ sơ sinh
P92.2,nuôi dưỡng chậm của trẻ sơ sinh
P92.4,nuôi dưỡng quá mức của trẻ sơ sinh
P92.5,trẻ bú sữa mẹ khó khăn
P92.8,vấn đề khác của nuôi dưỡng trẻ sơ sinh
Q15,các dị tật bẩm sinh khác của mắt
Q15.0,glôcôm tăng nhãn áp bẩm sinh
Q15.8,các dị tật bẩm sinh mắt đặc hiệu khác
Q15.9,dị tật bẩm sinh mắt không đặc hiệu
Q16,các dị tật ở tai gây ảnh hưởng tới thính lực
Q16.1,thiếu teo hoặc chít hẹp bẩm sinh ống tai ngoài
Q16.2,không có vòi eustache
Q16.3,dị tật bẩm sinh các xương con của tai
Q16.4,các dị tật bẩm sinh của tai giữa
Q16.9,dị tật bẩm sinh ở tai gây ảnh hưởng tới thính lực không đặc hiệu
Q17,các dị tật bẩm sinh khác ở tai
Q17.0,dị tật thừa ở vành tai
Q17.2,dị tật tai bé
Q17.3,tật tai có hình dị thường
Q17.5,tật tai nhô
Q17.8,những dị tật bẩm sinh đặc hiệu khác của tai
Q17.9,dị tật bẩm sinh tai không đặc hiệu
Q18,các dị tật bẩm sinh khác của mặt và cổ
Q18.1,xoang và mang trước tai
Q18.2,dị tật khe hở mang khác
Q18.3,màng da cổ
Q18.4,tật mồm rộng
Q18.6,môi to
Q18.7,môi nhỏ
Q18.9,dị tật bẩm sinh ở mặt và cổ không đặc hiệu
Q20,các dị tật bẩm sinh của các buồng tim và bộ phận nối
Q20.0,thân động mạch chung
Q20.1,thất phải hai đường ra
Q20.2,thất trái hai đường ra
Q20.4,thất hai đường vào
Q20.5,phần nối nhĩ thất không phù hợp
Q20.6,đồng phân của tiểu nhĩ
Q20.8,các dị tật bẩm sinh khác của các buồng tim và phần nối
Q21,các dị tật bẩm sinh của vách tim
Q21.0,thông liên thất
Q21.1,thông liên nhĩ
Q21.2,thông vách nhĩ thất
Q21.3,tứ chứng fallot
Q21.4,thông vách động mạch chủ phổi
Q21.8,những dị tật bẩm sinh khác của vách tim
Q22,các dị tật bẩm sinh của van ba lá và động mạch phổi
Q22.0,teo van động mạch phổi
Q22.1,hẹp van động mạch phổi bẩm sinh
Q22.2,hở van động mạch phổi bẩm sinh
Q22.3,các dị tật bẩm sinh khác của van động mạch phổi
Q22.4,hẹp van ba lá bẩm sinh
Q22.6,hội chứng tim phải thiểu sản
Q22.8,các dị tật bẩm sinh khác của van ba lá
Q23,các dị tật bẩm sinh của van hai lá và động mạch chủ
Q23.0,hẹp van động mạch chủ bẩm sinh
Q23.1,hở van động mạch chủ bẩm sinh
Q23.2,hẹp van hai lá bẩm sinh
Q23.4,hội chứng tim trái thiểu sản
Q23.8,các dị tật bẩm sinh khác của van hai lá và động mạch chủ
Q23.9,dị tật bẩm sinh của van hai lá và động mạch chủ không đặc hiệu
M51.0,các bệnh của đĩa đệm đốt sống thắt lưng và các đốt sống khác có kèm theo tổn thương tủy sống g99 2
M51.1,bệnh của đĩa đệm đốt sống thắt lưng và các đốt sống khác có kèm tổn thương của rễ tủy sống g55 1
M51.3,thoái hóa đĩa đệm đốt sống đặc hiệu khác
M51.4,nhân schmorl
M51.8,các tổn thương đặc hiệu khác của đĩa đệm
M53,bệnh cột sống khác không được xếp loại ở mục khác
M53.0,hội chứng đầu cổ
M53.1,hội chứng cánh tay cổ
M53.2,cột sống mất vững
M53.3,tổn thương cùng cụt chưa xếp loại mục khác
M53.8,các bệnh cột sống xác định khác
M54,đau lưng
M54.0,viêm mô mỡ dưới da tại vùng cổ và lưng
M54.1,bệnh rễ thần kinh tủy sống
M54.2,đau vùng cổ gáy
M54.4,đau lưng kèm đau dây thần kinh tọa
M54.6,đau cột sống ngực
M54.8,các đau lưng khác
M54.9,đau lưng không đặc hiệu
M60.0,viêm cơ nhiễm khuẩn
M60.1,viêm tổ chức kẽ của cơ
M60.2,u hạt mô mềm do dị vật không được xếp loại ở mục khác
M60.9,viêm cơ không đặc hiệu
M61,vôi hóa và cốt hóa cơ
M61.1,viêm cơ cốt hóa tiến triển
M61.2,vôi hóa và cốt hóacơ do liệt
M61.3,vôi hóa và cốt hóa cơ liên quan đến bỏng
M61.4,các dạng vôi hóa cơ khác
M61.5,các dạng cốt hóa cơ khác
M62.0,lỏng nhẽo cơ
M62.1,rách cơ khác không do chấn thương
M62.3,hội chứng bất động liệt 2 chi dưới
M62.4,co cứng cơ
M62.5,nhẽo cơ và teo cơ không được xếp loại ở mục khác
M62.6,căng cơ quá mức
M62.9,bệnh cơ không đặc hiệu
M63,bệnh cơ trong những bệnh được xếp loại ở mục khác
M63.1,viêm cơ trong nhiễm ký sinh trùng và động vật đơn bào được xếp loại ở mục khác
M63.2,viêm cơ trong các bệnh nhiễm khuẩn khác được xếp loại ở mục khác
