Mã ICD,Tên bệnh
U06.2,sử dụng mã u06 2 trong cấp cứu
U06.3,sử dụng mã u06 3 trong cấp cứu
U06.4,sử dụng mã u06 4 trong cấp cứu
U06.5,sử dụng mã u06 5 trong cấp cứu
U06.6,sử dụng mã u06 6 trong cấp cứu
U06.7,sử dụng mã u06 7 trong cấp cứu
U06.8,sử dụng mã u06 8 trong cấp cứu
U06.9,sử dụng mã u06 9 trong cấp cứu
U07,sử dụng mã u07 trong cấp cứu
U07.0,sử dụng mã u07 0 trong cấp cứu
U07.1,covid 19 xác định có kết quả xét nghiệm khẳng định sars cov 2 dương tính
H27.9,bệnh thể thủy tinh không đặc hiệu
H28,đục thủy tinh thể và bệnh của thủy tinh thể khác trong các bệnh phân loại nơi khác
H28.0,đục thể thủy tinh do đái tháo đường e10 e14 với ký tự thứ tư là 3
H28.1,đục thể thủy tinh trong các bệnh nội tiết dinh dưỡng và chuyển hóa khác
H28.2,đục thể thủy tinh trong bệnh khác phân loại nơi khác
H28.8,bệnh khác của thể thủy tinh trong các bệnh phân loại nơi khác
H30,viêm hắc võng mạc
H30.0,viêm hắc võng mạc khu trú
H30.1,viêm hắc võng mạc rải rác
H30.2,viêm thể mi sau
H30.8,bệnh viêm hắc võng mạc khác
H30.9,viêm hắc võng mạc không đặc hiệu
H31,bệnh khác của hắc mạc
H31.0,sẹo hắc võng mạc
H31.1,thoái hóa hắc mạc
H31.2,loạn dưỡng hắc mạc di truyền
H31.3,xuất huyết và rách hắc mạc
H31.4,bong hắc mạc
H31.8,bệnh xác định khác của hắc mạc
H31.9,bệnh hắc mạc không đặc hiệu
H32,bệnh hắc võng mạc trong các bệnh phân loại nơi khác
H32.0,viêm hắc võng mạc trong bệnh nhiễm trùng và ký sinh trùng phân loại nơi khác
H32.8,bệnh hắc võng mạc khác trong các bệnh phân loại nơi khác
H33,bong và rách võng mạc
H33.0,bong võng mạc có vết rách
H33.1,tách lớp võng mạc và nang võng mạc
H33.2,bong võng mạc thanh dịch
H33.3,vết rách võng mạc không có bong
H33.4,bong võng mạc do kéo
H33.5,bong võng mạc khác
H34,tắc mạch võng mạc
H34.0,tắc động mạch võng mạc thoáng qua
H34.1,tắc động mạch trung tâm võng mạc
H34.2,tắc động mạch võng mạc khác
H34.8,các tắc mạch võng mạc khác
H34.9,tắc mạch võng mạc không đặc hiệu
H35,các bệnh võng mạc khác
H35.0,bệnh lý võng mạc sơ phát và biến đổi mạch máu võng mạc
H35.1,bệnh lý võng mạc của trẻ đẻ non
H35.2,bệnh lý võng mạc tăng sinh khác
T29,bỏng và ăn mòn nhiều vùng cơ thể
T29.0,bỏng nhiều vùng độ chưa xác định
T29.1,bỏng nhiều vùng không hơn bỏng độ một đã đề cập
